sample_index,feature_rule,parsed_feature,weight,abs_weight
0,texture_worst <= 21.49,texture_worst,-0.067209,0.067209
0,perimeter_worst <= 84.13,perimeter_worst,-0.0563,0.0563
0,texture_mean <= 16.34,texture_mean,-0.053338,0.053338
0,area_se <= 17.86,area_se,-0.045746,0.045746
0,0.06 < concave points_worst <= 0.10,concave points_worst,-0.030113,0.030113
0,0.02 < concave points_mean <= 0.03,concave points_mean,-0.02455,0.02455
0,0.12 < concavity_worst <= 0.23,concavity_worst,-0.023659,0.023659
0,radius_se <= 0.23,radius_se,-0.015703,0.015703
0,0.09 < smoothness_mean <= 0.10,smoothness_mean,-0.013957,0.013957
0,0.01 < compactness_se <= 0.02,compactness_se,0.012186,0.012186
1,concave points_worst > 0.16,concave points_worst,0.092729,0.092729
1,perimeter_worst > 127.00,perimeter_worst,0.069051,0.069051
1,area_se > 45.39,area_se,0.052957,0.052957
1,texture_mean > 21.83,texture_mean,0.051558,0.051558
1,concave points_mean > 0.07,concave points_mean,0.043821,0.043821
1,compactness_se > 0.03,compactness_se,-0.042863,0.042863
1,radius_se > 0.48,radius_se,0.036156,0.036156
1,concavity_worst > 0.39,concavity_worst,0.029757,0.029757
1,compactness_mean > 0.13,compactness_mean,-0.025008,0.025008
1,fractal_dimension_se > 0.00,fractal_dimension_se,-0.017325,0.017325
2,texture_worst <= 21.49,texture_worst,-0.067117,0.067117
2,texture_mean <= 16.34,texture_mean,-0.05201,0.05201
2,area_se <= 17.86,area_se,-0.040671,0.040671
2,compactness_mean > 0.13,compactness_mean,-0.023267,0.023267
2,0.12 < concavity_worst <= 0.23,concavity_worst,-0.022784,0.022784
2,97.65 < perimeter_worst <= 127.00,perimeter_worst,0.019073,0.019073
2,0.10 < smoothness_mean <= 0.10,smoothness_mean,0.017378,0.017378
2,0.01 < compactness_se <= 0.02,compactness_se,0.01502,0.01502
2,0.10 < concave points_worst <= 0.16,concave points_worst,-0.011337,0.011337
2,radius_se <= 0.23,radius_se,-0.011235,0.011235
3,texture_worst > 30.20,texture_worst,0.040884,0.040884
3,0.23 < concavity_worst <= 0.39,concavity_worst,0.027871,0.027871
3,97.65 < perimeter_worst <= 127.00,perimeter_worst,0.017977,0.017977
3,0.10 < concave points_worst <= 0.16,concave points_worst,-0.01608,0.01608
3,0.10 < smoothness_mean <= 0.10,smoothness_mean,0.014995,0.014995
3,0.09 < compactness_mean <= 0.13,compactness_mean,-0.014173,0.014173
3,0.03 < concave points_mean <= 0.07,concave points_mean,0.013452,0.013452
3,18.90 < texture_mean <= 21.83,texture_mean,0.012336,0.012336
3,24.87 < area_se <= 45.39,area_se,0.011555,0.011555
3,0.23 < radius_se <= 0.33,radius_se,-0.011315,0.011315
4,texture_mean > 21.83,texture_mean,0.054351,0.054351
4,compactness_se <= 0.01,compactness_se,0.037844,0.037844
4,texture_worst > 30.20,texture_worst,0.037492,0.037492
4,84.13 < perimeter_worst <= 97.65,perimeter_worst,-0.032029,0.032029
4,concavity_worst <= 0.12,concavity_worst,-0.03017,0.03017
4,0.02 < concave points_mean <= 0.03,concave points_mean,-0.027306,0.027306
4,0.06 < concave points_worst <= 0.10,concave points_worst,-0.024847,0.024847
4,symmetry_worst <= 0.25,symmetry_worst,-0.023902,0.023902
4,24.87 < area_se <= 45.39,area_se,0.015789,0.015789
4,683.40 < area_worst <= 1122.50,area_worst,0.012411,0.012411
5,perimeter_worst <= 84.13,perimeter_worst,-0.06162,0.06162
5,compactness_se > 0.03,compactness_se,-0.044471,0.044471
5,concavity_worst > 0.39,concavity_worst,0.030574,0.030574
5,17.86 < area_se <= 24.87,area_se,-0.022513,0.022513
5,fractal_dimension_se > 0.00,fractal_dimension_se,-0.021091,0.021091
5,0.10 < smoothness_mean <= 0.10,smoothness_mean,0.018368,0.018368
5,compactness_mean > 0.13,compactness_mean,-0.016432,0.016432
5,0.03 < concave points_mean <= 0.07,concave points_mean,0.015861,0.015861
5,21.49 < texture_worst <= 25.48,texture_worst,0.014654,0.014654
5,concave points_se > 0.01,concave points_se,0.014199,0.014199
6,concave points_worst > 0.16,concave points_worst,0.089905,0.089905
6,concavity_worst > 0.39,concavity_worst,0.028709,0.028709
6,17.86 < area_se <= 24.87,area_se,-0.02671,0.02671
6,97.65 < perimeter_worst <= 127.00,perimeter_worst,0.022895,0.022895
6,0.09 < compactness_mean <= 0.13,compactness_mean,-0.020317,0.020317
6,radius_se <= 0.23,radius_se,-0.015972,0.015972
6,0.03 < concave points_mean <= 0.07,concave points_mean,0.015711,0.015711
6,0.10 < smoothness_mean <= 0.10,smoothness_mean,0.010845,0.010845
6,683.40 < area_worst <= 1122.50,area_worst,0.008681,0.008681
6,0.00 < fractal_dimension_se <= 0.00,fractal_dimension_se,0.007948,0.007948
7,texture_worst <= 21.49,texture_worst,-0.06028,0.06028
7,texture_mean <= 16.34,texture_mean,-0.055874,0.055874
7,area_se <= 17.86,area_se,-0.046496,0.046496
7,smoothness_mean <= 0.09,smoothness_mean,-0.036426,0.036426
7,0.06 < concave points_worst <= 0.10,concave points_worst,-0.029075,0.029075
7,0.12 < concavity_worst <= 0.23,concavity_worst,-0.028685,0.028685
7,0.02 < concave points_mean <= 0.03,concave points_mean,-0.026953,0.026953
7,97.65 < perimeter_worst <= 127.00,perimeter_worst,0.022105,0.022105
7,symmetry_worst <= 0.25,symmetry_worst,-0.018688,0.018688
7,683.40 < area_worst <= 1122.50,area_worst,0.013898,0.013898
8,texture_worst <= 21.49,texture_worst,-0.060392,0.060392
8,perimeter_worst <= 84.13,perimeter_worst,-0.059469,0.059469
8,texture_mean <= 16.34,texture_mean,-0.053795,0.053795
8,area_se <= 17.86,area_se,-0.044132,0.044132
8,0.06 < concave points_worst <= 0.10,concave points_worst,-0.032538,0.032538
8,0.12 < concavity_worst <= 0.23,concavity_worst,-0.031934,0.031934
8,0.03 < concave points_mean <= 0.07,concave points_mean,0.015478,0.015478
8,0.09 < smoothness_mean <= 0.10,smoothness_mean,-0.014676,0.014676
8,radius_se <= 0.23,radius_se,-0.013722,0.013722
8,area_worst <= 516.15,area_worst,-0.01337,0.01337
9,texture_worst <= 21.49,texture_worst,-0.061062,0.061062
9,texture_mean <= 16.34,texture_mean,-0.054134,0.054134
9,84.13 < perimeter_worst <= 97.65,perimeter_worst,-0.034333,0.034333
9,smoothness_mean > 0.10,smoothness_mean,0.033711,0.033711
9,0.02 < concave points_mean <= 0.03,concave points_mean,-0.027166,0.027166
9,0.12 < concavity_worst <= 0.23,concavity_worst,-0.027013,0.027013
9,17.86 < area_se <= 24.87,area_se,-0.025349,0.025349
9,0.06 < concave points_worst <= 0.10,concave points_worst,-0.025309,0.025309
9,0.09 < compactness_mean <= 0.13,compactness_mean,-0.020383,0.020383
9,0.23 < radius_se <= 0.33,radius_se,-0.013831,0.013831
