parsed_feature,mean_weight,mean_abs_weight,frequency
texture_worst,-0.02787875,0.05113625,8
texture_mean,-0.01886325,0.0484245,8
perimeter_worst,-0.009265,0.0394852,10
concave points_worst,0.0014816666666666663,0.03910366666666667,9
area_se,-0.0171316,0.0331918,10
compactness_se,-0.004456799999999999,0.0304768,5
concavity_worst,-0.0047334,0.0281156,10
concave points_mean,-0.00018355555555555562,0.023366444444444447,9
symmetry_worst,-0.021295,0.021295,2
smoothness_mean,0.0037797499999999993,0.0200445,8
compactness_mean,-0.01993,0.01993,6
radius_se,-0.006517428571428572,0.016847714285714285,7
fractal_dimension_se,-0.010156,0.015454666666666667,3
concave points_se,0.014199,0.014199,1
area_worst,0.005405,0.01209,4
